0,-0.0423716
1,-0.0255192
2,-0.0151969
3,-0.00797553
4,-0.00328594
5,-0.00123614
6,-0.00182714
7,-0.00473565
8,-0.00895047
9,-0.0128329
10,-0.0151027
11,-0.0157474
12,-0.0157742
13,-0.0157474
14,-0.0151027
15,-0.0128329
16,-0.00895047
17,-0.00473565
18,-0.00182714
19,-0.00123614
20,-0.00328594
21,-0.00797553
22,-0.0151969
23,-0.0255192
24,-0.0423716
25,-0.0109783
26,-0.0132275
27,-0.0104481
28,-0.00825173
29,-0.00681887
30,-0.00609129
31,-0.00589067
32,-0.00583757
33,-0.00561629
34,-0.00527534
35,-0.00499235
36,-0.00479794
37,-0.0046668
38,-0.00479794
39,-0.00499235
40,-0.00527534
41,-0.00561629
42,-0.00583757
43,-0.00589067
44,-0.00609129
45,-0.00681887
46,-0.00825173
47,-0.0104481
48,-0.0132275
49,-0.0109783
50,-0.0043016
51,-0.00776314
52,-0.00889292
53,-0.00863541
54,-0.00847499
55,-0.0084421
56,-0.00850366
57,-0.00854975
58,-0.00699474
59,-0.00394055
60,-0.00146563
61,-0.000597176
62,-0.000436478
63,-0.000597176
64,-0.00146563
65,-0.00394055
66,-0.00699474
67,-0.00854975
68,-0.00850366
69,-0.0084421
70,-0.008475
71,-0.00863541
72,-0.00889292
73,-0.00776314
74,-0.0043016
75,-0.00812731
76,-0.0102658
77,-0.00820848
78,-0.00668912
79,-0.00587012
80,-0.00583794
81,-0.00675415
82,-0.00896823
83,-0.0135366
84,-0.00801704
85,-0.00265483
86,-0.00069449
87,-0.000501158
88,-0.00069449
89,-0.00265483
90,-0.00801704
91,-0.0135366
92,-0.00896823
93,-0.00675415
94,-0.00583794
95,-0.00587012
96,-0.00668912
97,-0.00820848
98,-0.0102658
99,-0.00812731
100,-0.0344657
101,-0.0199283
102,-0.0110601
103,-0.00517789
104,-0.00184176
105,-0.00106715
106,-0.0028704
107,-0.0076321
108,-0.0185263
109,-0.0637476
110,-0.00762412
111,-0.000911062
112,-0.000130472
113,-0.000911062
114,-0.00762412
115,-0.0637476
116,-0.0185263
117,-0.0076321
118,-0.00287041
119,-0.00106714
120,-0.00184176
121,-0.0051779
122,-0.0110601
123,-0.0199283
124,-0.0344657
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
