1 1.1065
2 1.10381
3 1.08089
4 0.990357
5 0.874634
6 0.776944
7 0.699781
8 0.636516
9 0.58672
10 0.542834
11 0.504817
12 0.473225
13 0.444877
14 0.414272
15 0.384395
16 0.362074
17 0.344678
18 0.332258
19 0.324829
20 0.320011
21 0.316782
22 0.314471
23 0.312781
24 0.311482
25 0.310303
26 0.309216
27 0.308219
28 0.30733
29 0.306725
30 0.30629
31 0.305966
32 0.305678
33 0.305426
34 0.305249
35 0.305111
36 0.305016
37 0.30494
38 0.304861
39 0.304785
40 0.304734
41 0.304672
42 0.304639
43 0.304612
44 0.304592
45 0.304573
46 0.30456
47 0.304551
48 0.304541
49 0.304536
50 0.304533
51 0.30453
52 0.304529
53 0.304538
54 0.304528
55 0.304528
56 0.304527
57 0.304527
58 0.304526
59 0.304527
60 0.304527
61 0.304527
62 0.304527
63 0.304536
64 0.304526
65 0.304526
